,Sample_ID,fileID,fullsample_ID,sample_id_r,sampCode,armsCode,siteType,site,sitelocality0,sitelocality,temp,salinity,depth,temp_mean,turbidity_m,turbidity_std_indv,turbidity_std_rank,latitude,longitude,locality,fraction,relativeAbundance,numberOTUs,Shannon,Simpson,Pielou,Margalef,Chao1,ACE,fileID_normalized,arms,type,core_value,CHL_OM,CHL_OSD,SPM_OM,SPM_OSD,BBP_OM,BBP_OSD,PP_mean,PP_sd,CDM_OM,CDM_OSD
SH21813,primers.trimmed.1392.116.SH21813.COI.36.500_F_filt,primers-trimmed-1392-116-SH21813-COI-36-500_F_filt.fastq.gz,SH21813-COI-36-500,36_EFGdeep_500,efgb_arms_36_500,EFGB_36_500,EFGB_deep,EFGB,EFGB_deep,EFGB_deep,21.12,36.19,81,20.7629044,7.2,0.080470995,5.857142857,27.89072,-93.62013,deep,500,49787,521,6.098534673,0.969721878,0.974868662,48.07910484,560.2238806,567.6420203,primers.trimmed.1392.116.SH21813.COI.36.500_F_filt.fastq.gz,36,arms,36_EFGdeep,0.158665243,0.052180641,0.352614933,0.067819301,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21732,primers.trimmed.1392.033.SH21732.COI.33.SESS_F_filt,primers-trimmed-1392-033-SH21732-COI-33-SESS_F_filt.fastq.gz,SH21732-COI-33-SESS,33_EFGshal_SESSILE,efgb_arms_33_sessile,EFGB_33_sessile,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,23.1,36.25,55,22.5535989,14,1.333492378,2.428571429,27.900074,-93.609648,shallow,sessile,59603,547,5.018278948,0.909587154,0.795990118,49.65685301,579.0434783,585.1156567,primers.trimmed.1392.033.SH21732.COI.33.SESS_F_filt.fastq.gz,33,arms,33_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21806,primers.trimmed.1392.109.SH21806.COI.33.100_F_filt,primers-trimmed-1392-109-SH21806-COI-33-100_F_filt.fastq.gz,SH21806-COI-33-100,33_EFGshal_100,efgb_arms_33_100,EFGB_33_100,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,23.1,36.25,55,22.5535989,14,1.333492378,2.428571429,27.900074,-93.609648,shallow,100,63172,853,6.862594375,0.980889136,1.016867519,77.07884603,893.1470588,911.6304977,primers.trimmed.1392.109.SH21806.COI.33.100_F_filt.fastq.gz,33,arms,33_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21807,primers.trimmed.1392.110.SH21807.COI.33.500_F_filt,primers-trimmed-1392-110-SH21807-COI-33-500_F_filt.fastq.gz,SH21807-COI-33-500,33_EFGshal_500,efgb_arms_33_500,EFGB_33_500,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,23.1,36.25,55,22.5535989,14,1.333492378,2.428571429,27.900074,-93.609648,shallow,500,59891,386,5.508457758,0.946363334,0.924883844,34.99910427,424,422.5483342,primers.trimmed.1392.110.SH21807.COI.33.500_F_filt.fastq.gz,33,arms,33_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21731,primers.trimmed.1392.032.SH21731.COI.32.SESS_F_filt,primers-trimmed-1392-032-SH21731-COI-32-SESS_F_filt.fastq.gz,SH21731-COI-32-SESS,32_EFGshal_SESSILE,efgb_arms_32_sessile,EFGB_32_sessile,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,na,na,55,22.5535989,14,1.333492378,2.428571429,27.899992,-93.609618,shallow,sessile,55904,363,4.384161682,0.898510059,0.743783858,33.11563853,385.1886792,389.3800399,primers.trimmed.1392.032.SH21731.COI.32.SESS_F_filt.fastq.gz,32,arms,32_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21804,primers.trimmed.1392.107.SH21804.COI.32.100_F_filt,primers-trimmed-1392-107-SH21804-COI-32-100_F_filt.fastq.gz,SH21804-COI-32-100,32_EFGshal_100,efgb_arms_32_100,EFGB_32_100,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,na,na,55,22.5535989,14,1.333492378,2.428571429,27.899992,-93.609618,shallow,100,65497,697,6.162609924,0.962325738,0.941318454,62.76060293,717.0403226,735.4084178,primers.trimmed.1392.107.SH21804.COI.32.100_F_filt.fastq.gz,32,arms,32_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21805,primers.trimmed.1392.108.SH21805.COI.32.500_F_filt,primers-trimmed-1392-108-SH21805-COI-32-500_F_filt.fastq.gz,SH21805-COI-32-500,32_EFGshal_500,efgb_arms_32_500,EFGB_32_500,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,na,na,55,22.5535989,14,1.333492378,2.428571429,27.899992,-93.609618,shallow,500,73982,364,5.450006001,0.943778504,0.924175649,32.37724691,381.6428571,386.00536,primers.trimmed.1392.108.SH21805.COI.32.500_F_filt.fastq.gz,32,arms,32_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21730,primers.trimmed.1392.031.SH21730.COI.31.SESS_F_filt,primers-trimmed-1392-031-SH21730-COI-31-SESS_F_filt.fastq.gz,SH21730-COI-31-SESS,31_EFGshal_SESSILE,efgb_arms_31_sessile,EFGB_31_sessile,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,23.17,36.31,55,22.5535989,14,1.333492378,2.428571429,27.900075,-93.609576,shallow,sessile,55191,539,5.122463383,0.925067114,0.814418923,49.2739187,569.8684211,577.4367502,primers.trimmed.1392.031.SH21730.COI.31.SESS_F_filt.fastq.gz,31,arms,31_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21802,primers.trimmed.1392.105.SH21802.COI.31.100_F_filt,primers-trimmed-1392-105-SH21802-COI-31-100_F_filt.fastq.gz,SH21802-COI-31-100,31_EFGshal_100,efgb_arms_31_100,EFGB_31_100,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,23.17,36.31,55,22.5535989,14,1.333492378,2.428571429,27.900075,-93.609576,shallow,100,79661,916,6.463200235,0.964788641,0.947681045,81.07723442,928.0394737,942.3171955,primers.trimmed.1392.105.SH21802.COI.31.100_F_filt.fastq.gz,31,arms,31_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
SH21803,primers.trimmed.1392.106.SH21803.COI.31.500_F_filt,primers-trimmed-1392-106-SH21803-COI-31-500_F_filt.fastq.gz,SH21803-COI-31-500,31_EFGshal_500,efgb_arms_31_500,EFGB_31_500,EFGB_shallow,EFGB,EFGB_shallow,EFGB_shallow,23.17,36.31,55,22.5535989,14,1.333492378,2.428571429,27.900075,-93.609576,shallow,500,98725,452,5.607750649,0.958707139,0.91724602,39.2170725,472.0909091,486.8514664,primers.trimmed.1392.106.SH21803.COI.31.500_F_filt.fastq.gz,31,arms,31_EFGshal,0.158665243,0.052180641,0.348420121,0.052687432,0.001283959,0.000272775,395.8950762,105.0385937,0.011034233,0.004941442
